year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1951,1951177N12136,KATE,,WP,single,JPN,54.6,106.2,83530573.0,9.95423118508e+12,24747658.0,2.94308479583e+12,549663.0,90306429200.0
1951,1951178N17259,UNNAMED,,EP,single,MEX,30.1,58.4,2265273.0,33141675563.0,0.0,0.0,0.0,0.0
1951,1951181N21122,UNNAMED,,WP,single,JPN,24.8,48.2,618307.0,58722442093.0,0.0,0.0,0.0,0.0
1951,1951187N17256,UNNAMED,,EP,single,MEX,18.6,36.2,876.0,20680099.0,0.0,0.0,0.0,0.0
1951,1951206N11145,LOUISE,,WP,multi,CHN,31.0,60.3,22328680.0,5.83144769574e+11,0.0,0.0,0.0,0.0
1951,1951206N11145,LOUISE,,WP,multi,HKG,23.4,45.4,8148473.0,1.22601739968e+12,0.0,0.0,0.0,0.0
1951,1951206N11145,LOUISE,,WP,multi,PHL,62.9,122.3,11972716.0,92044736594.0,9009618.0,56108240924.0,2196001.0,17840557608.0
1951,1951217N14114,UNNAMED,,WP,single,CHN,25.0,48.6,1636152.0,36086928913.0,0.0,0.0,0.0,0.0
1951,1951221N10136,UNNAMED,,WP,multi,CHN,26.7,51.9,62450599.0,1.47161219482e+12,0.0,0.0,0.0,0.0
1951,1951221N10136,UNNAMED,,WP,multi,HKG,24.4,47.4,8148473.0,1.22601739968e+12,0.0,0.0,0.0,0.0
1951,1951221N10136,UNNAMED,,WP,multi,PHL,25.0,48.6,30677.0,287227079.0,0.0,0.0,0.0,0.0
1951,1951221N10136,UNNAMED,,WP,multi,TWN,26.8,52.1,8421258.0,1.75381241626e+12,0.0,0.0,0.0,0.0
1951,1951223N11148,MARGE,,WP,multi,CHN,24.3,47.3,353649.0,9453474201.0,0.0,0.0,0.0,0.0
1951,1951223N11148,MARGE,,WP,multi,JPN,48.8,94.8,1217573.0,1.05245933089e+11,40920.0,6049107014.0,0.0,0.0
1951,1951223N11148,MARGE,,WP,multi,KOR,39.2,76.3,37398900.0,5.45501158387e+12,7247423.0,1.10266146855e+12,0.0,0.0
1951,1951223N11148,MARGE,,WP,multi,PRK,31.7,61.6,2678924.0,835316169.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,BRB,21.1,41.1,221937.0,3568487999.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,CUB,19.9,38.6,1864.0,21334998.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,DMA,48.5,94.2,66839.0,0.0,66839.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,DOM,28.3,55.1,233172.0,6366540514.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,GLP,39.5,76.7,430747.0,0.0,2614.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,HTI,30.4,59.2,2558718.0,5397738349.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,JAM,68.1,132.4,2788659.0,21481978182.0,2788659.0,21481978182.0,2552903.0,19483462361.0
1951,1951224N12316,CHARLIE,,NA,multi,KNA,19.3,37.5,17.0,0.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,LCA,27.7,53.8,181776.0,1841187540.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,MEX,66.5,129.3,8010585.0,1.24057057862e+11,3473070.0,47423122786.0,1218769.0,13118389403.0
1951,1951224N12316,CHARLIE,,NA,multi,MSR,23.0,44.8,6201.0,0.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,MTQ,40.2,78.1,413065.0,0.0,346326.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,VCT,18.6,36.2,2479.0,40161673.0,0.0,0.0,0.0,0.0
1951,1951237N16259,UNNAMED,,EP,single,MEX,29.6,57.5,1051497.0,18149881454.0,0.0,0.0,0.0,0.0
1951,1951239N11144,NORA,,WP,multi,CHN,61.4,119.4,10395631.0,2.40615969917e+11,5881235.0,1.33732847557e+11,1860218.0,47410738595.0
1951,1951239N11144,NORA,,WP,multi,LAO,22.3,43.4,56911.0,810194040.0,0.0,0.0,0.0,0.0
1951,1951239N11144,NORA,,WP,multi,PHL,53.3,103.6,10120341.0,66432941258.0,6069769.0,31665280860.0,38033.0,263728120.0
1951,1951239N11144,NORA,,WP,multi,VNM,41.6,80.8,35531329.0,2.06594715481e+11,2354733.0,12196669184.0,0.0,0.0
1951,1951239N12334,DOG,,NA,multi,BRB,31.8,61.8,275978.0,4430200898.0,0.0,0.0,0.0,0.0
1951,1951239N12334,DOG,,NA,multi,DMA,33.4,64.8,66839.0,0.0,0.0,0.0,0.0,0.0
